scenario,method,trajectory_count,repetition,temporal_qualification_rate,stability,lag_support,lag_std,stability_estimable,temporal_qualification_rate_ci_low,temporal_qualification_rate_ci_high,stability_ci_low,stability_ci_high
deffuant,trajectory_vote,12,8,0.2857142857142857,0.6354166666666667,0.28125,1.570523920096011,True,,,,
deffuant,trajectory_vote,12,9,0.2857142857142857,0.71875,0.32291666666666663,1.4256974032895238,True,,,,
deffuant,trajectory_vote,12,10,0.25,0.630952380952381,0.3095238095238096,1.4817101205171814,True,,,,
deffuant,trajectory_vote,12,11,0.25,0.6785714285714287,0.3571428571428572,1.499796570381651,True,,,,
deffuant,trajectory_vote,16,0,0.25,0.75,0.32142857142857145,1.6251299313739842,True,,,,
deffuant,trajectory_vote,16,1,0.2857142857142857,0.6875,0.34375,1.2948431451668951,True,,,,
deffuant,trajectory_vote,16,2,0.2857142857142857,0.671875,0.3125,1.5975033632580504,True,,,,
deffuant,trajectory_vote,16,3,0.2857142857142857,0.6796875,0.3203125,1.3334940707290464,True,,,,
deffuant,trajectory_vote,16,4,0.2857142857142857,0.640625,0.25,1.5858152988943188,True,,,,
deffuant,trajectory_vote,16,5,0.2857142857142857,0.6953125,0.3046875,1.3887318473985477,True,,,,
deffuant,trajectory_vote,16,6,0.2857142857142857,0.640625,0.2890625,1.5398239602454402,True,,,,
deffuant,trajectory_vote,16,7,0.25,0.7053571428571429,0.2767857142857143,1.6093675202296773,True,,,,
deffuant,trajectory_vote,16,8,0.21428571428571427,0.7083333333333334,0.3229166666666667,1.5926996864497687,True,,,,
deffuant,trajectory_vote,16,9,0.32142857142857145,0.6319444444444444,0.2569444444444444,1.4848917022194477,True,,,,
deffuant,trajectory_vote,16,10,0.32142857142857145,0.6736111111111112,0.2777777777777778,1.5254475015152624,True,,,,
deffuant,trajectory_vote,16,11,0.21428571428571427,0.7291666666666666,0.3020833333333333,1.6285474226772498,True,,,,
deffuant,trajectory_vote,20,0,0.2857142857142857,0.6375,0.25,1.5292861386412389,True,,,,
deffuant,trajectory_vote,20,1,0.2857142857142857,0.625,0.25625,1.506275505930349,True,,,,
deffuant,trajectory_vote,20,2,0.25,0.6928571428571428,0.2857142857142857,1.6049745923136762,True,,,,
deffuant,trajectory_vote,20,3,0.25,0.6857142857142857,0.27142857142857146,1.5699316871906774,True,,,,
deffuant,trajectory_vote,20,4,0.25,0.692857142857143,0.2857142857142857,1.5856079334404807,True,,,,
deffuant,trajectory_vote,20,5,0.25,0.7000000000000001,0.2785714285714286,1.5558115507366208,True,,,,
deffuant,trajectory_vote,20,6,0.25,0.6785714285714287,0.3,1.530615144111239,True,,,,
deffuant,trajectory_vote,20,7,0.21428571428571427,0.7083333333333334,0.2916666666666667,1.6007412412829254,True,,,,
deffuant,trajectory_vote,20,8,0.25,0.6928571428571428,0.31428571428571433,1.60369568311788,True,,,,
deffuant,trajectory_vote,20,9,0.32142857142857145,0.6555555555555556,0.2888888888888889,1.554066686854143,True,,,,
deffuant,trajectory_vote,20,10,0.21428571428571427,0.7250000000000001,0.3333333333333333,1.5536507246458529,True,,,,
deffuant,trajectory_vote,20,11,0.32142857142857145,0.6555555555555556,0.2888888888888889,1.554066686854143,True,,,,
deffuant,trajectory_vote,24,0,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,1,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,2,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,3,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,4,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,5,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,6,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,7,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,8,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,9,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,10,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
deffuant,trajectory_vote,24,11,0.25,0.6845238095238095,0.27976190476190477,1.5811593786951776,True,,,,
schelling,full_method,1,0,0.7241379310344828,,,,False,,,,
schelling,full_method,1,1,0.8620689655172413,,,,False,,,,
schelling,full_method,1,2,0.8620689655172413,,,,False,,,,
